"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2010,"Gross Exp.",2,124523.218
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2010,"Gross Imp.",1,1071033.526
"H0","ABW"," Total","Aruba","ANT","Netherlands Antilles",2010,"Gross Exp.",2,18972.58
"H0","ABW"," Total","Aruba","ANT","Netherlands Antilles",2010,"Gross Imp.",1,58494.363
"H0","ABW"," Total","Aruba","ARG","Argentina",2010,"Gross Exp.",2,3.131
"H0","ABW"," Total","Aruba","ARG","Argentina",2010,"Gross Imp.",1,3808.179
"H0","ABW"," Total","Aruba","BEL","Belgium",2010,"Gross Exp.",2,279.45
"H0","ABW"," Total","Aruba","BEL","Belgium",2010,"Gross Imp.",1,1609.749
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2010,"Gross Exp.",2,0.426
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2010,"Gross Imp.",1,2522.893
"H0","ABW"," Total","Aruba","BRA","Brazil",2010,"Gross Exp.",2,7.872
"H0","ABW"," Total","Aruba","BRA","Brazil",2010,"Gross Imp.",1,16329.922
"H0","ABW"," Total","Aruba","CAN","Canada",2010,"Gross Exp.",2,13.018
"H0","ABW"," Total","Aruba","CAN","Canada",2010,"Gross Imp.",1,5317.824
"H0","ABW"," Total","Aruba","CHE","Switzerland",2010,"Gross Exp.",2,231.134
"H0","ABW"," Total","Aruba","CHE","Switzerland",2010,"Gross Imp.",1,14135.953
"H0","ABW"," Total","Aruba","CHL","Chile",2010,"Gross Exp.",2,221.226
"H0","ABW"," Total","Aruba","CHL","Chile",2010,"Gross Imp.",1,2549.831
"H0","ABW"," Total","Aruba","CHN","China",2010,"Gross Exp.",2,157.493
"H0","ABW"," Total","Aruba","CHN","China",2010,"Gross Imp.",1,14917.143
"H0","ABW"," Total","Aruba","COL","Colombia",2010,"Gross Exp.",2,33811.16
"H0","ABW"," Total","Aruba","COL","Colombia",2010,"Gross Imp.",1,37006.784
"H0","ABW"," Total","Aruba","CRI","Costa Rica",2010,"Gross Exp.",2,18.089
"H0","ABW"," Total","Aruba","CRI","Costa Rica",2010,"Gross Imp.",1,7203.519
"H0","ABW"," Total","Aruba","DEU","Germany",2010,"Gross Exp.",2,25.939
"H0","ABW"," Total","Aruba","DEU","Germany",2010,"Gross Imp.",1,4781.112
