"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2011,"Gross Exp.",2,151359.634
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2011,"Gross Imp.",1,1284948.78
"H0","ABW"," Total","Aruba","ARG","Argentina",2011,"Gross Exp.",2,0.23
"H0","ABW"," Total","Aruba","ARG","Argentina",2011,"Gross Imp.",1,2330.322
"H0","ABW"," Total","Aruba","BEL","Belgium",2011,"Gross Exp.",2,262.003
"H0","ABW"," Total","Aruba","BEL","Belgium",2011,"Gross Imp.",1,952.355
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2011,"Gross Exp.",2,0.135
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2011,"Gross Imp.",1,4755.91
"H0","ABW"," Total","Aruba","BRA","Brazil",2011,"Gross Exp.",2,0.316
"H0","ABW"," Total","Aruba","BRA","Brazil",2011,"Gross Imp.",1,15795.969
"H0","ABW"," Total","Aruba","CAN","Canada",2011,"Gross Exp.",2,63.48
"H0","ABW"," Total","Aruba","CAN","Canada",2011,"Gross Imp.",1,5797.38
"H0","ABW"," Total","Aruba","CHE","Switzerland",2011,"Gross Exp.",2,456.756
"H0","ABW"," Total","Aruba","CHE","Switzerland",2011,"Gross Imp.",1,13589.056
"H0","ABW"," Total","Aruba","CHL","Chile",2011,"Gross Exp.",2,0.302
"H0","ABW"," Total","Aruba","CHL","Chile",2011,"Gross Imp.",1,2374.176
"H0","ABW"," Total","Aruba","CHN","China",2011,"Gross Exp.",2,362.711
"H0","ABW"," Total","Aruba","CHN","China",2011,"Gross Imp.",1,21427.994
"H0","ABW"," Total","Aruba","COL","Colombia",2011,"Gross Exp.",2,59883.655
"H0","ABW"," Total","Aruba","COL","Colombia",2011,"Gross Imp.",1,30440.765
"H0","ABW"," Total","Aruba","CRI","Costa Rica",2011,"Gross Exp.",2,2.113
"H0","ABW"," Total","Aruba","CRI","Costa Rica",2011,"Gross Imp.",1,5868.451
"H0","ABW"," Total","Aruba","CUW","Curaçao",2011,"Gross Exp.",2,24140.098
"H0","ABW"," Total","Aruba","CUW","Curaçao",2011,"Gross Imp.",1,30521.408
"H0","ABW"," Total","Aruba","DEU","Germany",2011,"Gross Exp.",2,2.931
"H0","ABW"," Total","Aruba","DEU","Germany",2011,"Gross Imp.",1,5742.79
"H0","ABW"," Total","Aruba","DNK","Denmark",2011,"Gross Exp.",2,23.68
"H0","ABW"," Total","Aruba","DNK","Denmark",2011,"Gross Imp.",1,1654.26
"H0","ABW"," Total","Aruba","ESP","Spain",2011,"Gross Exp.",2,277.939
"H0","ABW"," Total","Aruba","ESP","Spain",2011,"Gross Imp.",1,7819.077
"H0","ABW"," Total","Aruba","FIN","Finland",2011,"Gross Exp.",2,115.893
"H0","ABW"," Total","Aruba","FIN","Finland",2011,"Gross Imp.",1,45558.03
"H0","ABW"," Total","Aruba","FRA","France",2011,"Gross Exp.",2,407.134
"H0","ABW"," Total","Aruba","FRA","France",2011,"Gross Imp.",1,16624.512
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2011,"Gross Exp.",2,522.131
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2011,"Gross Imp.",1,56678.913
"H0","ABW"," Total","Aruba","HKG","Hong Kong, China",2011,"Gross Exp.",2,5.702
"H0","ABW"," Total","Aruba","HKG","Hong Kong, China",2011,"Gross Imp.",1,5627.548
"H0","ABW"," Total","Aruba","HND","Honduras",2011,"Gross Imp.",1,1858.699
"H0","ABW"," Total","Aruba","IND","India",2011,"Gross Exp.",2,41.737
"H0","ABW"," Total","Aruba","IND","India",2011,"Gross Imp.",1,1875.696
"H0","ABW"," Total","Aruba","ITA","Italy",2011,"Gross Exp.",2,0.967
"H0","ABW"," Total","Aruba","ITA","Italy",2011,"Gross Imp.",1,5827.129
"H0","ABW"," Total","Aruba","JAM","Jamaica",2011,"Gross Exp.",2,14.658
"H0","ABW"," Total","Aruba","JAM","Jamaica",2011,"Gross Imp.",1,5452.858
"H0","ABW"," Total","Aruba","JPN","Japan",2011,"Gross Exp.",2,35.825
"H0","ABW"," Total","Aruba","JPN","Japan",2011,"Gross Imp.",1,13645.168
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2011,"Gross Exp.",2,173.62
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2011,"Gross Imp.",1,18771.375
"H0","ABW"," Total","Aruba","MEX","Mexico",2011,"Gross Exp.",2,1060.875
"H0","ABW"," Total","Aruba","MEX","Mexico",2011,"Gross Imp.",1,10073.43
"H0","ABW"," Total","Aruba","NLD","Netherlands",2011,"Gross Exp.",2,6720.106
"H0","ABW"," Total","Aruba","NLD","Netherlands",2011,"Gross Imp.",1,139718.839
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2011,"Gross Exp.",2,1256.88
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2011,"Gross Imp.",1,708.56
"H0","ABW"," Total","Aruba","PAN","Panama",2011,"Gross Exp.",2,125.596
"H0","ABW"," Total","Aruba","PAN","Panama",2011,"Gross Imp.",1,41258.492
"H0","ABW"," Total","Aruba","PER","Peru",2011,"Gross Exp.",2,0.045
"H0","ABW"," Total","Aruba","PER","Peru",2011,"Gross Imp.",1,3400.078
"H0","ABW"," Total","Aruba","PRY","Paraguay",2011,"Gross Exp.",2,276.925
"H0","ABW"," Total","Aruba","PRY","Paraguay",2011,"Gross Imp.",1,23920.855
"H0","ABW"," Total","Aruba","STP","Sao Tome and Principe",2011,"Gross Exp.",2,0.227
"H0","ABW"," Total","Aruba","STP","Sao Tome and Principe",2011,"Gross Imp.",1,8091.794
"H0","ABW"," Total","Aruba","SUR","Suriname",2011,"Gross Exp.",2,1823.061
"H0","ABW"," Total","Aruba","SUR","Suriname",2011,"Gross Imp.",1,846.487
"H0","ABW"," Total","Aruba","SWE","Sweden",2011,"Gross Exp.",2,29.839
"H0","ABW"," Total","Aruba","SWE","Sweden",2011,"Gross Imp.",1,3907.434
"H0","ABW"," Total","Aruba","THA","Thailand",2011,"Gross Imp.",1,2154.855
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago",2011,"Gross Exp.",2,47.537
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago",2011,"Gross Imp.",1,9947.535
"H0","ABW"," Total","Aruba","TUR","Turkey",2011,"Gross Exp.",2,10.811
"H0","ABW"," Total","Aruba","TUR","Turkey",2011,"Gross Imp.",1,2440.354
"H0","ABW"," Total","Aruba","UNS","Unspecified",2011,"Gross Exp.",2,7631.439
"H0","ABW"," Total","Aruba","UNS","Unspecified",2011,"Gross Imp.",1,76972.909
"H0","ABW"," Total","Aruba","URY","Uruguay",2011,"Gross Exp.",2,2.768
"H0","ABW"," Total","Aruba","URY","Uruguay",2011,"Gross Imp.",1,5836.892
"H0","ABW"," Total","Aruba","USA","United States",2011,"Gross Exp.",2,15454.031
"H0","ABW"," Total","Aruba","USA","United States",2011,"Gross Imp.",1,612568.615
"H0","ABW"," Total","Aruba","VEN","Venezuela",2011,"Gross Exp.",2,30125.478
"H0","ABW"," Total","Aruba","VEN","Venezuela",2011,"Gross Imp.",1,22111.81
"H0","AFG"," Total","Afghanistan","ALB","Albania",2011,"Gross Imp.",1,122.766
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2011,"Gross Exp.",2,375850.935
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2011,"Gross Imp.",1,6390310.949
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2011,"Gross Exp.",2,3245.39
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2011,"Gross Imp.",1,199638.491
"H0","AFG"," Total","Afghanistan","ARG","Argentina",2011,"Gross Imp.",1,475.766
"H0","AFG"," Total","Afghanistan","ARM","Armenia",2011,"Gross Imp.",1,48
"H0","AFG"," Total","Afghanistan","AUS","Australia",2011,"Gross Exp.",2,111.502
"H0","AFG"," Total","Afghanistan","AUS","Australia",2011,"Gross Imp.",1,1301.37
"H0","AFG"," Total","Afghanistan","AUT","Austria",2011,"Gross Imp.",1,1316.758
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan",2011,"Gross Imp.",1,70476.931
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2011,"Gross Exp.",2,923.526
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2011,"Gross Imp.",1,4051.525
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh",2011,"Gross Imp.",1,1227.446
"H0","AFG"," Total","Afghanistan","BGR","Bulgaria",2011,"Gross Imp.",1,34.003
"H0","AFG"," Total","Afghanistan","BRA","Brazil",2011,"Gross Exp.",2,494
"H0","AFG"," Total","Afghanistan","BRA","Brazil",2011,"Gross Imp.",1,12072.163
"H0","AFG"," Total","Afghanistan","CAN","Canada",2011,"Gross Exp.",2,882.438
"H0","AFG"," Total","Afghanistan","CAN","Canada",2011,"Gross Imp.",1,23813.159
"H0","AFG"," Total","Afghanistan","CHE","Switzerland",2011,"Gross Imp.",1,7957.058
"H0","AFG"," Total","Afghanistan","CHN","China",2011,"Gross Exp.",2,5872.095
"H0","AFG"," Total","Afghanistan","CHN","China",2011,"Gross Imp.",1,577177.968
"H0","AFG"," Total","Afghanistan","COL","Colombia",2011,"Gross Imp.",1,3.474
"H0","AFG"," Total","Afghanistan","CUB","Cuba",2011,"Gross Imp.",1,26
"H0","AFG"," Total","Afghanistan","CYP","Cyprus",2011,"Gross Imp.",1,60.922
"H0","AFG"," Total","Afghanistan","DEU","Germany",2011,"Gross Exp.",2,1525.984
"H0","AFG"," Total","Afghanistan","DEU","Germany",2011,"Gross Imp.",1,244398.439
"H0","AFG"," Total","Afghanistan","DNK","Denmark",2011,"Gross Exp.",2,67.179
"H0","AFG"," Total","Afghanistan","DNK","Denmark",2011,"Gross Imp.",1,947.413
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.",2011,"Gross Exp.",2,1373.35
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.",2011,"Gross Imp.",1,3061.107
"H0","AFG"," Total","Afghanistan","ESP","Spain",2011,"Gross Exp.",2,37.8
"H0","AFG"," Total","Afghanistan","ESP","Spain",2011,"Gross Imp.",1,969.605
"H0","AFG"," Total","Afghanistan","FIN","Finland",2011,"Gross Exp.",2,6098.307
"H0","AFG"," Total","Afghanistan","FIN","Finland",2011,"Gross Imp.",1,2359.717
"H0","AFG"," Total","Afghanistan","FRA","France",2011,"Gross Exp.",2,166.002
"H0","AFG"," Total","Afghanistan","FRA","France",2011,"Gross Imp.",1,3382.209
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom",2011,"Gross Exp.",2,1718.44
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom",2011,"Gross Imp.",1,24230.407
"H0","AFG"," Total","Afghanistan","GEO","Georgia",2011,"Gross Imp.",1,322.997
"H0","AFG"," Total","Afghanistan","GRC","Greece",2011,"Gross Exp.",2,5.405
"H0","AFG"," Total","Afghanistan","GRC","Greece",2011,"Gross Imp.",1,504.177
"H0","AFG"," Total","Afghanistan","GTM","Guatemala",2011,"Gross Imp.",1,216.73
"H0","AFG"," Total","Afghanistan","HKG","Hong Kong, China",2011,"Gross Exp.",2,907.058
"H0","AFG"," Total","Afghanistan","HKG","Hong Kong, China",2011,"Gross Imp.",1,7405.341
"H0","AFG"," Total","Afghanistan","HUN","Hungary",2011,"Gross Imp.",1,86.592
"H0","AFG"," Total","Afghanistan","IDN","Indonesia",2011,"Gross Imp.",1,33852.644
"H0","AFG"," Total","Afghanistan","IND","India",2011,"Gross Exp.",2,70437.984
"H0","AFG"," Total","Afghanistan","IND","India",2011,"Gross Imp.",1,103876.928
"H0","AFG"," Total","Afghanistan","IRL","Ireland",2011,"Gross Imp.",1,3019.556
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2011,"Gross Exp.",2,19533.078
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2011,"Gross Imp.",1,581655.193
"H0","AFG"," Total","Afghanistan","IRQ","Iraq",2011,"Gross Exp.",2,15424.454
"H0","AFG"," Total","Afghanistan","IRQ","Iraq",2011,"Gross Imp.",1,49.121
"H0","AFG"," Total","Afghanistan","ITA","Italy",2011,"Gross Exp.",2,1463.719
"H0","AFG"," Total","Afghanistan","ITA","Italy",2011,"Gross Imp.",1,4443.013
"H0","AFG"," Total","Afghanistan","JOR","Jordan",2011,"Gross Imp.",1,2.588
"H0","AFG"," Total","Afghanistan","JPN","Japan",2011,"Gross Exp.",2,275.4
"H0","AFG"," Total","Afghanistan","JPN","Japan",2011,"Gross Imp.",1,411827.185
"H0","AFG"," Total","Afghanistan","KAZ","Kazakhstan",2011,"Gross Exp.",2,1118.9
"H0","AFG"," Total","Afghanistan","KAZ","Kazakhstan",2011,"Gross Imp.",1,333309.029
"H0","AFG"," Total","Afghanistan","KEN","Kenya",2011,"Gross Imp.",1,60520.649
"H0","AFG"," Total","Afghanistan","KGZ","Kyrgyz Republic",2011,"Gross Exp.",2,0.75
"H0","AFG"," Total","Afghanistan","KOR","Korea, Rep.",2011,"Gross Imp.",1,98716.435
"H0","AFG"," Total","Afghanistan","LBN","Lebanon",2011,"Gross Imp.",1,2229.062
"H0","AFG"," Total","Afghanistan","LKA","Sri Lanka",2011,"Gross Imp.",1,608.207
"H0","AFG"," Total","Afghanistan","LUX","Luxembourg",2011,"Gross Imp.",1,49.625
"H0","AFG"," Total","Afghanistan","LVA","Latvia",2011,"Gross Exp.",2,195.7
"H0","AFG"," Total","Afghanistan","LVA","Latvia",2011,"Gross Imp.",1,149711.338
"H0","AFG"," Total","Afghanistan","MAR","Morocco",2011,"Gross Imp.",1,226.881
"H0","AFG"," Total","Afghanistan","MYS","Malaysia",2011,"Gross Imp.",1,59921.524
"H0","AFG"," Total","Afghanistan","NLD","Netherlands",2011,"Gross Exp.",2,1052.702
"H0","AFG"," Total","Afghanistan","NLD","Netherlands",2011,"Gross Imp.",1,5209.582
"H0","AFG"," Total","Afghanistan","NOR","Norway",2011,"Gross Imp.",1,311.714
"H0","AFG"," Total","Afghanistan","NPL","Nepal",2011,"Gross Imp.",1,25.281
"H0","AFG"," Total","Afghanistan","NZL","New Zealand",2011,"Gross Imp.",1,179.841
"H0","AFG"," Total","Afghanistan","OAS","Other Asia, nes",2011,"Gross Exp.",2,4.72
"H0","AFG"," Total","Afghanistan","OAS","Other Asia, nes",2011,"Gross Imp.",1,6362.082
"H0","AFG"," Total","Afghanistan","PAK","Pakistan",2011,"Gross Exp.",2,180649.605
"H0","AFG"," Total","Afghanistan","PAK","Pakistan",2011,"Gross Imp.",1,877754.493
"H0","AFG"," Total","Afghanistan","PHL","Philippines",2011,"Gross Imp.",1,0.427
"H0","AFG"," Total","Afghanistan","POL","Poland",2011,"Gross Exp.",2,2400.163
"H0","AFG"," Total","Afghanistan","POL","Poland",2011,"Gross Imp.",1,1004.875
"H0","AFG"," Total","Afghanistan","ROM","Romania",2011,"Gross Imp.",1,223.824
"H0","AFG"," Total","Afghanistan","RUS","Russian Federation",2011,"Gross Exp.",2,33033.623
"H0","AFG"," Total","Afghanistan","RUS","Russian Federation",2011,"Gross Imp.",1,804167.856
"H0","AFG"," Total","Afghanistan","SAU","Saudi Arabia",2011,"Gross Exp.",2,1274.107
"H0","AFG"," Total","Afghanistan","SAU","Saudi Arabia",2011,"Gross Imp.",1,50975.773
"H0","AFG"," Total","Afghanistan","SGP","Singapore",2011,"Gross Imp.",1,5383.801
"H0","AFG"," Total","Afghanistan","SVK","Slovak Republic",2011,"Gross Imp.",1,2080.306
"H0","AFG"," Total","Afghanistan","SWE","Sweden",2011,"Gross Exp.",2,810.614
"H0","AFG"," Total","Afghanistan","SWE","Sweden",2011,"Gross Imp.",1,4647.622
