"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2015,"Gross Exp.",2,79882.205
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2015,"Gross Imp.",1,1165014.286
"H0","ABW"," Total","Aruba","BEL","Belgium",2015,"Gross Exp.",2,40.922
"H0","ABW"," Total","Aruba","BEL","Belgium",2015,"Gross Imp.",1,2587.242
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2015,"Gross Imp.",1,1929.072
"H0","ABW"," Total","Aruba","BRA","Brazil",2015,"Gross Imp.",1,19169.924
"H0","ABW"," Total","Aruba","CHE","Switzerland",2015,"Gross Imp.",1,3607.752
"H0","ABW"," Total","Aruba","CHN","China",2015,"Gross Exp.",2,649.703
"H0","ABW"," Total","Aruba","CHN","China",2015,"Gross Imp.",1,24112.407
"H0","ABW"," Total","Aruba","COL","Colombia",2015,"Gross Exp.",2,21893.706
"H0","ABW"," Total","Aruba","COL","Colombia",2015,"Gross Imp.",1,23372.994
"H0","ABW"," Total","Aruba","CUW","Curaçao",2015,"Gross Exp.",2,13439.708
"H0","ABW"," Total","Aruba","CUW","Curaçao",2015,"Gross Imp.",1,16170.888
"H0","ABW"," Total","Aruba","FRA","France",2015,"Gross Imp.",1,6298.325
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2015,"Gross Exp.",2,45.879
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2015,"Gross Imp.",1,44892.367
"H0","ABW"," Total","Aruba","JPN","Japan",2015,"Gross Imp.",1,9805.289
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2015,"Gross Imp.",1,19775.515
"H0","ABW"," Total","Aruba","MEX","Mexico",2015,"Gross Exp.",2,5234.891
"H0","ABW"," Total","Aruba","MEX","Mexico",2015,"Gross Imp.",1,10688.381
"H0","ABW"," Total","Aruba","NLD","Netherlands",2015,"Gross Exp.",2,7761.546
"H0","ABW"," Total","Aruba","NLD","Netherlands",2015,"Gross Imp.",1,120832.153
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2015,"Gross Exp.",2,465.318
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2015,"Gross Imp.",1,52.311
"H0","ABW"," Total","Aruba","PAN","Panama",2015,"Gross Exp.",2,3040.695
"H0","ABW"," Total","Aruba","PAN","Panama",2015,"Gross Imp.",1,41509.83
"H0","ABW"," Total","Aruba","PRY","Paraguay",2015,"Gross Exp.",2,70.015
"H0","ABW"," Total","Aruba","PRY","Paraguay",2015,"Gross Imp.",1,5242.938
"H0","ABW"," Total","Aruba","SUR","Suriname",2015,"Gross Exp.",2,2255.039
"H0","ABW"," Total","Aruba","SUR","Suriname",2015,"Gross Imp.",1,1727.156
"H0","ABW"," Total","Aruba","SWE","Sweden",2015,"Gross Imp.",1,1066.617
"H0","ABW"," Total","Aruba","UNS","Unspecified",2015,"Gross Exp.",2,14347.54
"H0","ABW"," Total","Aruba","UNS","Unspecified",2015,"Gross Imp.",1,167874.688
"H0","ABW"," Total","Aruba","URY","Uruguay",2015,"Gross Exp.",2,161.435
"H0","ABW"," Total","Aruba","URY","Uruguay",2015,"Gross Imp.",1,752.361
"H0","ABW"," Total","Aruba","USA","United States",2015,"Gross Exp.",2,5601.879
"H0","ABW"," Total","Aruba","USA","United States",2015,"Gross Imp.",1,628656.553
"H0","ABW"," Total","Aruba","VEN","Venezuela",2015,"Gross Exp.",2,4873.929
"H0","ABW"," Total","Aruba","VEN","Venezuela",2015,"Gross Imp.",1,14889.523
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2015,"Gross Exp.",2,571404.969
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2015,"Gross Imp.",1,7722865.048
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2015,"Gross Exp.",2,24444.446
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2015,"Gross Imp.",1,320516.756
"H0","AFG"," Total","Afghanistan","ARG","Argentina",2015,"Gross Imp.",1,87.416
"H0","AFG"," Total","Afghanistan","ARM","Armenia",2015,"Gross Imp.",1,45.9
"H0","AFG"," Total","Afghanistan","AUS","Australia",2015,"Gross Exp.",2,1296.26
"H0","AFG"," Total","Afghanistan","AUS","Australia",2015,"Gross Imp.",1,1259.046
"H0","AFG"," Total","Afghanistan","AUT","Austria",2015,"Gross Exp.",2,51.916
"H0","AFG"," Total","Afghanistan","AUT","Austria",2015,"Gross Imp.",1,147.022
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan",2015,"Gross Exp.",2,3.41
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan",2015,"Gross Imp.",1,35967.567
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2015,"Gross Exp.",2,354.154
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2015,"Gross Imp.",1,1234.531
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh",2015,"Gross Exp.",2,618.7
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh",2015,"Gross Imp.",1,3235.225
"H0","AFG"," Total","Afghanistan","BGR","Bulgaria",2015,"Gross Exp.",2,7.906
"H0","AFG"," Total","Afghanistan","BGR","Bulgaria",2015,"Gross Imp.",1,83.03
"H0","AFG"," Total","Afghanistan","BIH","Bosnia and Herzegovina",2015,"Gross Imp.",1,0.543
"H0","AFG"," Total","Afghanistan","BRA","Brazil",2015,"Gross Exp.",2,107.5
"H0","AFG"," Total","Afghanistan","BRA","Brazil",2015,"Gross Imp.",1,10395.095
"H0","AFG"," Total","Afghanistan","CAN","Canada",2015,"Gross Exp.",2,771.752
"H0","AFG"," Total","Afghanistan","CAN","Canada",2015,"Gross Imp.",1,2576.338
"H0","AFG"," Total","Afghanistan","CHE","Switzerland",2015,"Gross Exp.",2,68.552
"H0","AFG"," Total","Afghanistan","CHE","Switzerland",2015,"Gross Imp.",1,6123.531
"H0","AFG"," Total","Afghanistan","CHN","China",2015,"Gross Exp.",2,10150.949
"H0","AFG"," Total","Afghanistan","CHN","China",2015,"Gross Imp.",1,1043998.238
"H0","AFG"," Total","Afghanistan","COL","Colombia",2015,"Gross Imp.",1,36.223
"H0","AFG"," Total","Afghanistan","CRI","Costa Rica",2015,"Gross Imp.",1,0.869
"H0","AFG"," Total","Afghanistan","CZE","Czech Republic",2015,"Gross Exp.",2,9.182
"H0","AFG"," Total","Afghanistan","CZE","Czech Republic",2015,"Gross Imp.",1,367.487
"H0","AFG"," Total","Afghanistan","DEU","Germany",2015,"Gross Exp.",2,5677.441
"H0","AFG"," Total","Afghanistan","DEU","Germany",2015,"Gross Imp.",1,30984.392
"H0","AFG"," Total","Afghanistan","DNK","Denmark",2015,"Gross Exp.",2,113.516
"H0","AFG"," Total","Afghanistan","DNK","Denmark",2015,"Gross Imp.",1,1032.086
"H0","AFG"," Total","Afghanistan","ECU","Ecuador",2015,"Gross Imp.",1,16.437
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.",2015,"Gross Exp.",2,91.589
