"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2017,"Gross Exp.",2,89079.347
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2017,"Gross Imp.",1,1194654.491
"H0","ABW"," Total","Aruba","BRA","Brazil",2017,"Gross Imp.",1,15176.101
"H0","ABW"," Total","Aruba","CHE","Switzerland",2017,"Gross Imp.",1,1966.508
"H0","ABW"," Total","Aruba","CHN","China",2017,"Gross Imp.",1,21233.227
"H0","ABW"," Total","Aruba","COL","Colombia",2017,"Gross Exp.",2,17307.999
"H0","ABW"," Total","Aruba","COL","Colombia",2017,"Gross Imp.",1,16582.943
"H0","ABW"," Total","Aruba","CUW","Curaçao",2017,"Gross Exp.",2,701.439
"H0","ABW"," Total","Aruba","CUW","Curaçao",2017,"Gross Imp.",1,13664.03
"H0","ABW"," Total","Aruba","ESP","Spain",2017,"Gross Imp.",1,5970.064
"H0","ABW"," Total","Aruba","FRA","France",2017,"Gross Imp.",1,1612.766
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2017,"Gross Imp.",1,19607.608
"H0","ABW"," Total","Aruba","JPN","Japan",2017,"Gross Imp.",1,8370.555
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2017,"Gross Imp.",1,6746.714
"H0","ABW"," Total","Aruba","MEX","Mexico",2017,"Gross Imp.",1,5571.958
"H0","ABW"," Total","Aruba","NLD","Netherlands",2017,"Gross Exp.",2,2360.335
"H0","ABW"," Total","Aruba","NLD","Netherlands",2017,"Gross Imp.",1,139771.214
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2017,"Gross Imp.",1,57.825
"H0","ABW"," Total","Aruba","PAN","Panama",2017,"Gross Imp.",1,26703.796
"H0","ABW"," Total","Aruba","SUR","Suriname",2017,"Gross Imp.",1,160.965
"H0","ABW"," Total","Aruba","SWE","Sweden",2017,"Gross Imp.",1,1.597
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago",2017,"Gross Imp.",1,1687.701
"H0","ABW"," Total","Aruba","UNS","Unspecified",2017,"Gross Exp.",2,47477.861
"H0","ABW"," Total","Aruba","UNS","Unspecified",2017,"Gross Imp.",1,288451.826
"H0","ABW"," Total","Aruba","URY","Uruguay",2017,"Gross Imp.",1,2415.789
"H0","ABW"," Total","Aruba","USA","United States",2017,"Gross Exp.",2,10673.821
"H0","ABW"," Total","Aruba","USA","United States",2017,"Gross Imp.",1,597653.868
"H0","ABW"," Total","Aruba","VEN","Venezuela",2017,"Gross Exp.",2,10557.891
"H0","ABW"," Total","Aruba","VEN","Venezuela",2017,"Gross Imp.",1,21247.436
"H0","AGO"," Total","Angola","AFG","Afghanistan",2017,"Gross Exp.",2,2.248
"H0","AGO"," Total","Angola","AFG","Afghanistan",2017,"Gross Imp.",1,69.883
"H0","AGO"," Total","Angola","ALB","Albania",2017,"Gross Exp.",2,39.723
"H0","AGO"," Total","Angola","All","All countries  All --- All  ",2017,"Gross Exp.",2,34904881.109
"H0","AGO"," Total","Angola","All","All countries  All --- All  ",2017,"Gross Imp.",1,15462313.478
"H0","AGO"," Total","Angola","AND","Andorra",2017,"Gross Exp.",2,5.975
"H0","AGO"," Total","Angola","AND","Andorra",2017,"Gross Imp.",1,14.902
"H0","AGO"," Total","Angola","ARE","United Arab Emirates",2017,"Gross Exp.",2,1016519.507
"H0","AGO"," Total","Angola","ARE","United Arab Emirates",2017,"Gross Imp.",1,411523.793
"H0","AGO"," Total","Angola","ARG","Argentina",2017,"Gross Exp.",2,98.7
"H0","AGO"," Total","Angola","ARG","Argentina",2017,"Gross Imp.",1,56867.851
"H0","AGO"," Total","Angola","ARM","Armenia",2017,"Gross Exp.",2,30.494
"H0","AGO"," Total","Angola","ATG","Antigua and Barbuda",2017,"Gross Exp.",2,54.774
"H0","AGO"," Total","Angola","ATG","Antigua and Barbuda",2017,"Gross Imp.",1,141.793
"H0","AGO"," Total","Angola","AUS","Australia",2017,"Gross Exp.",2,1904.301
"H0","AGO"," Total","Angola","AUS","Australia",2017,"Gross Imp.",1,30316.065
"H0","AGO"," Total","Angola","AUT","Austria",2017,"Gross Exp.",2,627.179
"H0","AGO"," Total","Angola","AUT","Austria",2017,"Gross Imp.",1,25539.747
"H0","AGO"," Total","Angola","AZE","Azerbaijan",2017,"Gross Exp.",2,143.356
"H0","AGO"," Total","Angola","AZE","Azerbaijan",2017,"Gross Imp.",1,3.967
"H0","AGO"," Total","Angola","BEL","Belgium",2017,"Gross Exp.",2,28690.458
"H0","AGO"," Total","Angola","BEL","Belgium",2017,"Gross Imp.",1,650666.019
"H0","AGO"," Total","Angola","BEN","Benin",2017,"Gross Exp.",2,332.216
"H0","AGO"," Total","Angola","BEN","Benin",2017,"Gross Imp.",1,625.384
"H0","AGO"," Total","Angola","BFA","Burkina Faso",2017,"Gross Exp.",2,161.29
"H0","AGO"," Total","Angola","BFA","Burkina Faso",2017,"Gross Imp.",1,0.374
"H0","AGO"," Total","Angola","BGD","Bangladesh",2017,"Gross Exp.",2,125.722
"H0","AGO"," Total","Angola","BGD","Bangladesh",2017,"Gross Imp.",1,986.418
"H0","AGO"," Total","Angola","BGR","Bulgaria",2017,"Gross Exp.",2,158.252
"H0","AGO"," Total","Angola","BGR","Bulgaria",2017,"Gross Imp.",1,20168.577
"H0","AGO"," Total","Angola","BHR","Bahrain",2017,"Gross Exp.",2,5.187
"H0","AGO"," Total","Angola","BHR","Bahrain",2017,"Gross Imp.",1,585.082
"H0","AGO"," Total","Angola","BHS","Bahamas, The",2017,"Gross Exp.",2,145.791
"H0","AGO"," Total","Angola","BHS","Bahamas, The",2017,"Gross Imp.",1,35169.326
"H0","AGO"," Total","Angola","BIH","Bosnia and Herzegovina",2017,"Gross Imp.",1,150.232
"H0","AGO"," Total","Angola","BLR","Belarus",2017,"Gross Imp.",1,1148.969
"H0","AGO"," Total","Angola","BOL","Bolivia",2017,"Gross Exp.",2,62.569
"H0","AGO"," Total","Angola","BOL","Bolivia",2017,"Gross Imp.",1,5.547
"H0","AGO"," Total","Angola","BRA","Brazil",2017,"Gross Exp.",2,119947.132
"H0","AGO"," Total","Angola","BRA","Brazil",2017,"Gross Imp.",1,870247.109
"H0","AGO"," Total","Angola","BRN","Brunei",2017,"Gross Imp.",1,24.564
"H0","AGO"," Total","Angola","BTN","Bhutan",2017,"Gross Imp.",1,81.984
"H0","AGO"," Total","Angola","BWA","Botswana",2017,"Gross Exp.",2,0.198
"H0","AGO"," Total","Angola","BWA","Botswana",2017,"Gross Imp.",1,1142.757
