"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2012,"Gross Exp.",2,173060.831
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2012,"Gross Imp.",1,1259804.186
"H0","ABW"," Total","Aruba","ARG","Argentina",2012,"Gross Exp.",2,50.643
"H0","ABW"," Total","Aruba","ARG","Argentina",2012,"Gross Imp.",1,2023.254
"H0","ABW"," Total","Aruba","BEL","Belgium",2012,"Gross Exp.",2,222.931
"H0","ABW"," Total","Aruba","BEL","Belgium",2012,"Gross Imp.",1,963.631
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2012,"Gross Exp.",2,830.248
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2012,"Gross Imp.",1,4254.217
"H0","ABW"," Total","Aruba","BRA","Brazil",2012,"Gross Exp.",2,294.83
"H0","ABW"," Total","Aruba","BRA","Brazil",2012,"Gross Imp.",1,15681.328
"H0","ABW"," Total","Aruba","CAN","Canada",2012,"Gross Exp.",2,165.26
"H0","ABW"," Total","Aruba","CAN","Canada",2012,"Gross Imp.",1,8140.103
"H0","ABW"," Total","Aruba","CHE","Switzerland",2012,"Gross Exp.",2,80.639
"H0","ABW"," Total","Aruba","CHE","Switzerland",2012,"Gross Imp.",1,14330.65
"H0","ABW"," Total","Aruba","CHL","Chile",2012,"Gross Exp.",2,0.137
"H0","ABW"," Total","Aruba","CHL","Chile",2012,"Gross Imp.",1,2007.24
"H0","ABW"," Total","Aruba","CHN","China",2012,"Gross Exp.",2,526.02
"H0","ABW"," Total","Aruba","CHN","China",2012,"Gross Imp.",1,19709.279
"H0","ABW"," Total","Aruba","COL","Colombia",2012,"Gross Exp.",2,68136.445
"H0","ABW"," Total","Aruba","COL","Colombia",2012,"Gross Imp.",1,21364.181
"H0","ABW"," Total","Aruba","CRI","Costa Rica",2012,"Gross Exp.",2,58.59
"H0","ABW"," Total","Aruba","CRI","Costa Rica",2012,"Gross Imp.",1,8201.988
"H0","ABW"," Total","Aruba","CUW","Curaçao",2012,"Gross Exp.",2,7087.408
"H0","ABW"," Total","Aruba","CUW","Curaçao",2012,"Gross Imp.",1,26977.329
