"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2018,"Gross Exp.",2,69762.737
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2018,"Gross Imp.",1,1257869.571
"H0","ABW"," Total","Aruba","BEL","Belgium",2018,"Gross Imp.",1,3.303
"H0","ABW"," Total","Aruba","BRA","Brazil",2018,"Gross Imp.",1,14615.38
"H0","ABW"," Total","Aruba","CHE","Switzerland",2018,"Gross Imp.",1,1264.844
"H0","ABW"," Total","Aruba","CHN","China",2018,"Gross Imp.",1,28662.949
"H0","ABW"," Total","Aruba","COL","Colombia",2018,"Gross Exp.",2,14632.45
"H0","ABW"," Total","Aruba","COL","Colombia",2018,"Gross Imp.",1,15234.083
"H0","ABW"," Total","Aruba","CUW","Curaçao",2018,"Gross Exp.",2,527.122
"H0","ABW"," Total","Aruba","CUW","Curaçao",2018,"Gross Imp.",1,10524.574
"H0","ABW"," Total","Aruba","ESP","Spain",2018,"Gross Imp.",1,5711.69
"H0","ABW"," Total","Aruba","FRA","France",2018,"Gross Imp.",1,609.986
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2018,"Gross Imp.",1,16849.035
"H0","ABW"," Total","Aruba","JPN","Japan",2018,"Gross Imp.",1,11910.219
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2018,"Gross Imp.",1,7121.467
"H0","ABW"," Total","Aruba","MEX","Mexico",2018,"Gross Imp.",1,2073.445
"H0","ABW"," Total","Aruba","NLD","Netherlands",2018,"Gross Exp.",2,2812.15
"H0","ABW"," Total","Aruba","NLD","Netherlands",2018,"Gross Imp.",1,137288.449
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2018,"Gross Imp.",1,5.143
"H0","ABW"," Total","Aruba","PAN","Panama",2018,"Gross Imp.",1,25711.243
"H0","ABW"," Total","Aruba","SUR","Suriname",2018,"Gross Imp.",1,1.547
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago",2018,"Gross Imp.",1,1468.673
"H0","ABW"," Total","Aruba","UNS","Unspecified",2018,"Gross Exp.",2,36429.828
"H0","ABW"," Total","Aruba","UNS","Unspecified",2018,"Gross Imp.",1,295577.708
"H0","ABW"," Total","Aruba","USA","United States",2018,"Gross Exp.",2,12519.25
"H0","ABW"," Total","Aruba","USA","United States",2018,"Gross Imp.",1,678767.529
"H0","ABW"," Total","Aruba","VEN","Venezuela",2018,"Gross Exp.",2,2841.938
"H0","ABW"," Total","Aruba","VEN","Venezuela",2018,"Gross Imp.",1,4468.303
"H0","AFG"," Total","Afghanistan","ABW","Aruba",2018,"Gross Imp.",1,1062.991
"H0","AFG"," Total","Afghanistan","ALB","Albania",2018,"Gross Imp.",1,0.537
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2018,"Gross Exp.",2,884504.496
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2018,"Gross Imp.",1,7406590.325
"H0","AFG"," Total","Afghanistan","AND","Andorra",2018,"Gross Imp.",1,0.89
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2018,"Gross Exp.",2,15765.913
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2018,"Gross Imp.",1,124299.466
"H0","AFG"," Total","Afghanistan","ARG","Argentina",2018,"Gross Imp.",1,212.326
"H0","AFG"," Total","Afghanistan","ASM","American Samoa",2018,"Gross Imp.",1,2103.595
"H0","AFG"," Total","Afghanistan","AUS","Australia",2018,"Gross Exp.",2,764.752
"H0","AFG"," Total","Afghanistan","AUS","Australia",2018,"Gross Imp.",1,10984.775
"H0","AFG"," Total","Afghanistan","AUT","Austria",2018,"Gross Exp.",2,104.413
"H0","AFG"," Total","Afghanistan","AUT","Austria",2018,"Gross Imp.",1,4577.343
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan",2018,"Gross Exp.",2,13.72
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan",2018,"Gross Imp.",1,3247.735
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2018,"Gross Exp.",2,25.717
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2018,"Gross Imp.",1,11181.047
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh",2018,"Gross Imp.",1,6278.789
"H0","AFG"," Total","Afghanistan","BGR","Bulgaria",2018,"Gross Imp.",1,362.323
"H0","AFG"," Total","Afghanistan","BHR","Bahrain",2018,"Gross Exp.",2,25.862
"H0","AFG"," Total","Afghanistan","BHR","Bahrain",2018,"Gross Imp.",1,212.174
"H0","AFG"," Total","Afghanistan","BLR","Belarus",2018,"Gross Exp.",2,34.055
"H0","AFG"," Total","Afghanistan","BLR","Belarus",2018,"Gross Imp.",1,4260.922
"H0","AFG"," Total","Afghanistan","BRA","Brazil",2018,"Gross Imp.",1,2071.048
"H0","AFG"," Total","Afghanistan","CAN","Canada",2018,"Gross Exp.",2,1321.982
"H0","AFG"," Total","Afghanistan","CAN","Canada",2018,"Gross Imp.",1,10182.011
"H0","AFG"," Total","Afghanistan","CHE","Switzerland",2018,"Gross Exp.",2,4.634
"H0","AFG"," Total","Afghanistan","CHE","Switzerland",2018,"Gross Imp.",1,99.848
"H0","AFG"," Total","Afghanistan","CHN","China",2018,"Gross Exp.",2,28410.085
"H0","AFG"," Total","Afghanistan","CHN","China",2018,"Gross Imp.",1,1165931.752
"H0","AFG"," Total","Afghanistan","CIV","Cote d'Ivoire",2018,"Gross Imp.",1,0.182
"H0","AFG"," Total","Afghanistan","COG","Congo, Rep.",2018,"Gross Imp.",1,7.6
"H0","AFG"," Total","Afghanistan","COL","Colombia",2018,"Gross Exp.",2,0.565
"H0","AFG"," Total","Afghanistan","CUB","Cuba",2018,"Gross Imp.",1,1.118
"H0","AFG"," Total","Afghanistan","CUW","Curaçao",2018,"Gross Imp.",1,46.658
"H0","AFG"," Total","Afghanistan","CZE","Czech Republic",2018,"Gross Exp.",2,7.327
"H0","AFG"," Total","Afghanistan","CZE","Czech Republic",2018,"Gross Imp.",1,1335.106
"H0","AFG"," Total","Afghanistan","DEU","Germany",2018,"Gross Exp.",2,5584.719
"H0","AFG"," Total","Afghanistan","DEU","Germany",2018,"Gross Imp.",1,65545.244
"H0","AFG"," Total","Afghanistan","DNK","Denmark",2018,"Gross Exp.",2,5.581
"H0","AFG"," Total","Afghanistan","DNK","Denmark",2018,"Gross Imp.",1,1233.395
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.",2018,"Gross Exp.",2,1.065
"H0","AFG"," Total","Afghanistan","EGY","Egypt, Arab Rep.",2018,"Gross Imp.",1,1477.608
"H0","AFG"," Total","Afghanistan","ESP","Spain",2018,"Gross Exp.",2,51.75
"H0","AFG"," Total","Afghanistan","ESP","Spain",2018,"Gross Imp.",1,2728.142
"H0","AFG"," Total","Afghanistan","EST","Estonia",2018,"Gross Imp.",1,1627.039
"H0","AFG"," Total","Afghanistan","FIN","Finland",2018,"Gross Exp.",2,1228.017
"H0","AFG"," Total","Afghanistan","FIN","Finland",2018,"Gross Imp.",1,304.723
"H0","AFG"," Total","Afghanistan","FRA","France",2018,"Gross Exp.",2,538.393
"H0","AFG"," Total","Afghanistan","FRA","France",2018,"Gross Imp.",1,7406.893
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom",2018,"Gross Exp.",2,1693.973
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom",2018,"Gross Imp.",1,4654.859
"H0","AFG"," Total","Afghanistan","GRC","Greece",2018,"Gross Imp.",1,216.867
"H0","AFG"," Total","Afghanistan","GTM","Guatemala",2018,"Gross Imp.",1,330.102
"H0","AFG"," Total","Afghanistan","HKG","Hong Kong, China",2018,"Gross Exp.",2,941.724
"H0","AFG"," Total","Afghanistan","HKG","Hong Kong, China",2018,"Gross Imp.",1,676.767
"H0","AFG"," Total","Afghanistan","HRV","Croatia",2018,"Gross Imp.",1,173.936
"H0","AFG"," Total","Afghanistan","HUN","Hungary",2018,"Gross Exp.",2,10.144
"H0","AFG"," Total","Afghanistan","HUN","Hungary",2018,"Gross Imp.",1,877.012
"H0","AFG"," Total","Afghanistan","IDN","Indonesia",2018,"Gross Exp.",2,54.029
"H0","AFG"," Total","Afghanistan","IDN","Indonesia",2018,"Gross Imp.",1,43014.439
"H0","AFG"," Total","Afghanistan","IND","India",2018,"Gross Exp.",2,359469.65
"H0","AFG"," Total","Afghanistan","IND","India",2018,"Gross Imp.",1,354282.14
"H0","AFG"," Total","Afghanistan","IRL","Ireland",2018,"Gross Imp.",1,5360.011
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2018,"Gross Exp.",2,20269.215
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2018,"Gross Imp.",1,1264167.476
"H0","AFG"," Total","Afghanistan","IRQ","Iraq",2018,"Gross Exp.",2,13190.08
"H0","AFG"," Total","Afghanistan","IRQ","Iraq",2018,"Gross Imp.",1,10.189
"H0","AFG"," Total","Afghanistan","ISR","Israel",2018,"Gross Imp.",1,5.332
"H0","AFG"," Total","Afghanistan","ITA","Italy",2018,"Gross Exp.",2,279.918
"H0","AFG"," Total","Afghanistan","ITA","Italy",2018,"Gross Imp.",1,9167.96
"H0","AFG"," Total","Afghanistan","JOR","Jordan",2018,"Gross Exp.",2,2796.481
"H0","AFG"," Total","Afghanistan","JOR","Jordan",2018,"Gross Imp.",1,512.422
"H0","AFG"," Total","Afghanistan","JPN","Japan",2018,"Gross Exp.",2,162.889
"H0","AFG"," Total","Afghanistan","JPN","Japan",2018,"Gross Imp.",1,414024.682
"H0","AFG"," Total","Afghanistan","KAZ","Kazakhstan",2018,"Gross Exp.",2,4450.387
"H0","AFG"," Total","Afghanistan","KAZ","Kazakhstan",2018,"Gross Imp.",1,790753.847
"H0","AFG"," Total","Afghanistan","KEN","Kenya",2018,"Gross Imp.",1,82231.432
"H0","AFG"," Total","Afghanistan","KGZ","Kyrgyz Republic",2018,"Gross Exp.",2,260.827
"H0","AFG"," Total","Afghanistan","KGZ","Kyrgyz Republic",2018,"Gross Imp.",1,482.933
