"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2016,"Gross Exp.",2,95396.491
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2016,"Gross Imp.",1,1117122.531
"H0","ABW"," Total","Aruba","BEL","Belgium",2016,"Gross Exp.",2,68.574
"H0","ABW"," Total","Aruba","BEL","Belgium",2016,"Gross Imp.",1,476.503
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2016,"Gross Imp.",1,901.364
"H0","ABW"," Total","Aruba","BRA","Brazil",2016,"Gross Imp.",1,14347.016
"H0","ABW"," Total","Aruba","CHE","Switzerland",2016,"Gross Exp.",2,150.838
"H0","ABW"," Total","Aruba","CHE","Switzerland",2016,"Gross Imp.",1,688.193
"H0","ABW"," Total","Aruba","CHN","China",2016,"Gross Exp.",2,780.577
"H0","ABW"," Total","Aruba","CHN","China",2016,"Gross Imp.",1,17022.453
"H0","ABW"," Total","Aruba","COL","Colombia",2016,"Gross Exp.",2,22709.72
"H0","ABW"," Total","Aruba","COL","Colombia",2016,"Gross Imp.",1,15181.208
"H0","ABW"," Total","Aruba","CUW","Curaçao",2016,"Gross Exp.",2,5525.309
"H0","ABW"," Total","Aruba","CUW","Curaçao",2016,"Gross Imp.",1,6815.683
"H0","ABW"," Total","Aruba","FRA","France",2016,"Gross Exp.",2,32.917
"H0","ABW"," Total","Aruba","FRA","France",2016,"Gross Imp.",1,1618.671
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2016,"Gross Imp.",1,21640.466
"H0","ABW"," Total","Aruba","HKG","Hong Kong, China",2016,"Gross Imp.",1,1242.111
"H0","ABW"," Total","Aruba","JPN","Japan",2016,"Gross Imp.",1,8442.237
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2016,"Gross Imp.",1,15159.457
"H0","ABW"," Total","Aruba","MEX","Mexico",2016,"Gross Exp.",2,1034.544
"H0","ABW"," Total","Aruba","MEX","Mexico",2016,"Gross Imp.",1,6631.888
"H0","ABW"," Total","Aruba","NLD","Netherlands",2016,"Gross Exp.",2,8122.974
"H0","ABW"," Total","Aruba","NLD","Netherlands",2016,"Gross Imp.",1,99635.099
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2016,"Gross Exp.",2,3176.591
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2016,"Gross Imp.",1,46.168
"H0","ABW"," Total","Aruba","PAN","Panama",2016,"Gross Exp.",2,2531.392
"H0","ABW"," Total","Aruba","PAN","Panama",2016,"Gross Imp.",1,18320.524
"H0","ABW"," Total","Aruba","PRY","Paraguay",2016,"Gross Imp.",1,2864.939
"H0","ABW"," Total","Aruba","SUR","Suriname",2016,"Gross Exp.",2,1080.659
"H0","ABW"," Total","Aruba","SUR","Suriname",2016,"Gross Imp.",1,593.291
"H0","ABW"," Total","Aruba","SWE","Sweden",2016,"Gross Imp.",1,287.868
"H0","ABW"," Total","Aruba","UNS","Unspecified",2016,"Gross Exp.",2,38025.059
"H0","ABW"," Total","Aruba","UNS","Unspecified",2016,"Gross Imp.",1,381336.777
"H0","ABW"," Total","Aruba","URY","Uruguay",2016,"Gross Exp.",2,597.421
"H0","ABW"," Total","Aruba","URY","Uruguay",2016,"Gross Imp.",1,526.996
"H0","ABW"," Total","Aruba","USA","United States",2016,"Gross Exp.",2,1908.571
"H0","ABW"," Total","Aruba","USA","United States",2016,"Gross Imp.",1,488900.221
"H0","ABW"," Total","Aruba","VEN","Venezuela",2016,"Gross Exp.",2,9651.345
"H0","ABW"," Total","Aruba","VEN","Venezuela",2016,"Gross Imp.",1,14443.397
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2016,"Gross Exp.",2,596455.334
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2016,"Gross Imp.",1,6534140.414
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2016,"Gross Exp.",2,9368.012
"H0","AFG"," Total","Afghanistan","ARE","United Arab Emirates",2016,"Gross Imp.",1,200385.452
"H0","AFG"," Total","Afghanistan","ARG","Argentina",2016,"Gross Imp.",1,79.799
"H0","AFG"," Total","Afghanistan","AUS","Australia",2016,"Gross Exp.",2,455.832
"H0","AFG"," Total","Afghanistan","AUS","Australia",2016,"Gross Imp.",1,5554.109
"H0","AFG"," Total","Afghanistan","AUT","Austria",2016,"Gross Imp.",1,910.629
"H0","AFG"," Total","Afghanistan","AZE","Azerbaijan",2016,"Gross Imp.",1,14688.487
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2016,"Gross Exp.",2,1231.243
"H0","AFG"," Total","Afghanistan","BEL","Belgium",2016,"Gross Imp.",1,1008.152
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh",2016,"Gross Exp.",2,177.188
"H0","AFG"," Total","Afghanistan","BGD","Bangladesh",2016,"Gross Imp.",1,2929.68
"H0","AFG"," Total","Afghanistan","BGR","Bulgaria",2016,"Gross Imp.",1,92.359
"H0","AFG"," Total","Afghanistan","BRA","Brazil",2016,"Gross Imp.",1,8376.636
"H0","AFG"," Total","Afghanistan","CAN","Canada",2016,"Gross Exp.",2,609.003
"H0","AFG"," Total","Afghanistan","CAN","Canada",2016,"Gross Imp.",1,6702.967
"H0","AFG"," Total","Afghanistan","CHE","Switzerland",2016,"Gross Exp.",2,26.433
