"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","AFG"," Total","Afghanistan","PAK","Pakistan",2013,"Gross Imp.",1,889148.19
"H0","AFG"," Total","Afghanistan","SAU","Saudi Arabia",2013,"Gross Exp.",2,459.258
"H0","AFG"," Total","Afghanistan","UNS","Unspecified",2013,"Gross Exp.",2,141014.786
"H0","AFG"," Total","Afghanistan","UNS","Unspecified",2013,"Gross Imp.",1,6573136.245
"H0","AGO"," Total","Angola","ABW","Aruba",2013,"Gross Imp.",1,25
"H0","AGO"," Total","Angola","AFG","Afghanistan",2013,"Gross Imp.",1,104.863
"H0","AGO"," Total","Angola","AIA","Anguila",2013,"Gross Imp.",1,107.848
"H0","AGO"," Total","Angola","ALB","Albania",2013,"Gross Imp.",1,2426.551
"H0","AGO"," Total","Angola","All","All countries  All --- All  ",2013,"Gross Exp.",2,67712526.544
"H0","AGO"," Total","Angola","All","All countries  All --- All  ",2013,"Gross Imp.",1,26756062.995
"H0","AGO"," Total","Angola","AND","Andorra",2013,"Gross Imp.",1,281.182
"H0","AGO"," Total","Angola","ARE","United Arab Emirates",2013,"Gross Exp.",2,790460.615
"H0","AGO"," Total","Angola","ARE","United Arab Emirates",2013,"Gross Imp.",1,885581.711
"H0","AGO"," Total","Angola","ARG","Argentina",2013,"Gross Imp.",1,150753.509
"H0","AGO"," Total","Angola","ARM","Armenia",2013,"Gross Imp.",1,193.954
"H0","AGO"," Total","Angola","ATG","Antigua and Barbuda",2013,"Gross Imp.",1,99.688
"H0","AGO"," Total","Angola","AUS","Australia",2013,"Gross Imp.",1,22764.961
"H0","AGO"," Total","Angola","AUT","Austria",2013,"Gross Imp.",1,25565.405
"H0","AGO"," Total","Angola","AZE","Azerbaijan",2013,"Gross Imp.",1,21.253
"H0","AGO"," Total","Angola","BEL","Belgium",2013,"Gross Exp.",2,123610.469
"H0","AGO"," Total","Angola","BEL","Belgium",2013,"Gross Imp.",1,831660.513
"H0","AGO"," Total","Angola","BEN","Benin",2013,"Gross Imp.",1,772.547
"H0","AGO"," Total","Angola","BFA","Burkina Faso",2013,"Gross Imp.",1,0.657
"H0","AGO"," Total","Angola","BGD","Bangladesh",2013,"Gross Imp.",1,2442.761
"H0","AGO"," Total","Angola","BGR","Bulgaria",2013,"Gross Imp.",1,2270.647
"H0","AGO"," Total","Angola","BHR","Bahrain",2013,"Gross Imp.",1,330206.185
"H0","AGO"," Total","Angola","BHS","Bahamas, The",2013,"Gross Exp.",2,100210.999
"H0","AGO"," Total","Angola","BHS","Bahamas, The",2013,"Gross Imp.",1,1766.904
"H0","AGO"," Total","Angola","BIH","Bosnia and Herzegovina",2013,"Gross Imp.",1,87.363
"H0","AGO"," Total","Angola","BLR","Belarus",2013,"Gross Imp.",1,691.325
"H0","AGO"," Total","Angola","BLZ","Belize",2013,"Gross Imp.",1,588.981
"H0","AGO"," Total","Angola","BMU","Bermuda",2013,"Gross Imp.",1,4252.459
"H0","AGO"," Total","Angola","BOL","Bolivia",2013,"Gross Imp.",1,2085.177
"H0","AGO"," Total","Angola","BRA","Brazil",2013,"Gross Exp.",2,428750.075
"H0","AGO"," Total","Angola","BRA","Brazil",2013,"Gross Imp.",1,1185093.95
"H0","AGO"," Total","Angola","BRB","Barbados",2013,"Gross Imp.",1,275.144
"H0","AGO"," Total","Angola","BRN","Brunei",2013,"Gross Imp.",1,3683.341
"H0","AGO"," Total","Angola","BVT","Bouvet Island",2013,"Gross Imp.",1,2.49
"H0","AGO"," Total","Angola","BWA","Botswana",2013,"Gross Imp.",1,540.75
"H0","AGO"," Total","Angola","CAN","Canada",2013,"Gross Exp.",2,3305027.169
"H0","AGO"," Total","Angola","CAN","Canada",2013,"Gross Imp.",1,85879.649
"H0","AGO"," Total","Angola","CCK","Cocos (Keeling) Islands",2013,"Gross Imp.",1,11.276
"H0","AGO"," Total","Angola","CHE","Switzerland",2013,"Gross Exp.",2,218946.068
"H0","AGO"," Total","Angola","CHE","Switzerland",2013,"Gross Imp.",1,74546.746
"H0","AGO"," Total","Angola","CHL","Chile",2013,"Gross Imp.",1,11422.303
"H0","AGO"," Total","Angola","CHN","China",2013,"Gross Exp.",2,31947235.081
"H0","AGO"," Total","Angola","CHN","China",2013,"Gross Imp.",1,2807559.763
"H0","AGO"," Total","Angola","CIV","Cote d'Ivoire",2013,"Gross Imp.",1,7275.997
"H0","AGO"," Total","Angola","CMR","Cameroon",2013,"Gross Imp.",1,515.029
"H0","AGO"," Total","Angola","COG","Congo, Rep.",2013,"Gross Imp.",1,19839.75
"H0","AGO"," Total","Angola","COK","Cook Islands",2013,"Gross Imp.",1,1.784
"H0","AGO"," Total","Angola","COL","Colombia",2013,"Gross Imp.",1,16450.264
"H0","AGO"," Total","Angola","CPV","Cape Verde",2013,"Gross Imp.",1,236.281
"H0","AGO"," Total","Angola","CRI","Costa Rica",2013,"Gross Imp.",1,522.236
"H0","AGO"," Total","Angola","CUB","Cuba",2013,"Gross Imp.",1,3912.369
"H0","AGO"," Total","Angola","CUW","Curaçao",2013,"Gross Imp.",1,45.069
"H0","AGO"," Total","Angola","CYM","Cayman Islands",2013,"Gross Imp.",1,132.612
"H0","AGO"," Total","Angola","CYP","Cyprus",2013,"Gross Imp.",1,4515.199
"H0","AGO"," Total","Angola","CZE","Czech Republic",2013,"Gross Imp.",1,2697.494
"H0","AGO"," Total","Angola","DEU","Germany",2013,"Gross Imp.",1,237594.693
"H0","AGO"," Total","Angola","DJI","Djibouti",2013,"Gross Imp.",1,1901.068
"H0","AGO"," Total","Angola","DMA","Dominica",2013,"Gross Imp.",1,4.278
"H0","AGO"," Total","Angola","DNK","Denmark",2013,"Gross Imp.",1,44926.691
"H0","AGO"," Total","Angola","DOM","Dominican Republic",2013,"Gross Imp.",1,23.835
"H0","AGO"," Total","Angola","DZA","Algeria",2013,"Gross Imp.",1,622.556
"H0","AGO"," Total","Angola","ECU","Ecuador",2013,"Gross Imp.",1,806.487
"H0","AGO"," Total","Angola","EGY","Egypt, Arab Rep.",2013,"Gross Imp.",1,23643.736
"H0","AGO"," Total","Angola","ESP","Spain",2013,"Gross Exp.",2,2481785.16
"H0","AGO"," Total","Angola","ESP","Spain",2013,"Gross Imp.",1,504906.167
"H0","AGO"," Total","Angola","EST","Estonia",2013,"Gross Imp.",1,998.454
"H0","AGO"," Total","Angola","ETH","Ethiopia(excludes Eritrea)",2013,"Gross Imp.",1,1124.431
"H0","AGO"," Total","Angola","FIN","Finland",2013,"Gross Imp.",1,4683.115
"H0","AGO"," Total","Angola","FJI","Fiji",2013,"Gross Imp.",1,1.215
"H0","AGO"," Total","Angola","FRA","France",2013,"Gross Exp.",2,1374449.816
"H0","AGO"," Total","Angola","FRA","France",2013,"Gross Imp.",1,712450.729
"H0","AGO"," Total","Angola","FRO","Faeroe Islands",2013,"Gross Imp.",1,57.408
"H0","AGO"," Total","Angola","GAB","Gabon",2013,"Gross Imp.",1,7898.088
"H0","AGO"," Total","Angola","GBR","United Kingdom",2013,"Gross Exp.",2,838968.401
"H0","AGO"," Total","Angola","GBR","United Kingdom",2013,"Gross Imp.",1,952704.778
"H0","AGO"," Total","Angola","GEO","Georgia",2013,"Gross Imp.",1,1256.872
"H0","AGO"," Total","Angola","GHA","Ghana",2013,"Gross Imp.",1,7456.806
"H0","AGO"," Total","Angola","GIB","Gibraltar",2013,"Gross Imp.",1,2398.712
"H0","AGO"," Total","Angola","GIN","Guinea",2013,"Gross Imp.",1,6817.78
"H0","AGO"," Total","Angola","GMB","Gambia, The",2013,"Gross Imp.",1,95.384
"H0","AGO"," Total","Angola","GNB","Guinea-Bissau",2013,"Gross Imp.",1,169.541
"H0","AGO"," Total","Angola","GNQ","Equatorial Guinea",2013,"Gross Imp.",1,44.603
"H0","AGO"," Total","Angola","GRC","Greece",2013,"Gross Imp.",1,14463.727
"H0","AGO"," Total","Angola","GRD","Grenada",2013,"Gross Imp.",1,2.562
"H0","AGO"," Total","Angola","GUY","Guyana",2013,"Gross Imp.",1,163.161
"H0","AGO"," Total","Angola","HKG","Hong Kong, China",2013,"Gross Exp.",2,103851.203
"H0","AGO"," Total","Angola","HKG","Hong Kong, China",2013,"Gross Imp.",1,80894.277
