"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2014,"Gross Exp.",2,116214.26
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2014,"Gross Imp.",1,1284149.421
"H0","ABW"," Total","Aruba","BRA","Brazil",2014,"Gross Exp.",2,53.261
"H0","ABW"," Total","Aruba","BRA","Brazil",2014,"Gross Imp.",1,16672.701
"H0","ABW"," Total","Aruba","CHE","Switzerland",2014,"Gross Exp.",2,88.862
"H0","ABW"," Total","Aruba","CHE","Switzerland",2014,"Gross Imp.",1,21733.516
"H0","ABW"," Total","Aruba","CHN","China",2014,"Gross Exp.",2,652.394
"H0","ABW"," Total","Aruba","CHN","China",2014,"Gross Imp.",1,30933.937
"H0","ABW"," Total","Aruba","COL","Colombia",2014,"Gross Exp.",2,35964.381
"H0","ABW"," Total","Aruba","COL","Colombia",2014,"Gross Imp.",1,30574.911
"H0","ABW"," Total","Aruba","CUW","Curaçao",2014,"Gross Exp.",2,25148.784
"H0","ABW"," Total","Aruba","CUW","Curaçao",2014,"Gross Imp.",1,25469.449
"H0","ABW"," Total","Aruba","DOM","Dominican Republic",2014,"Gross Exp.",2,165.338
"H0","ABW"," Total","Aruba","DOM","Dominican Republic",2014,"Gross Imp.",1,8739.76
"H0","ABW"," Total","Aruba","ESP","Spain",2014,"Gross Exp.",2,437.343
"H0","ABW"," Total","Aruba","ESP","Spain",2014,"Gross Imp.",1,18604.949
"H0","ABW"," Total","Aruba","FRA","France",2014,"Gross Exp.",2,786.689
"H0","ABW"," Total","Aruba","FRA","France",2014,"Gross Imp.",1,8890.003
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2014,"Gross Exp.",2,122.497
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2014,"Gross Imp.",1,40796.813
"H0","ABW"," Total","Aruba","JPN","Japan",2014,"Gross Imp.",1,10025.351
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2014,"Gross Exp.",2,309.464
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2014,"Gross Imp.",1,19783.422
"H0","ABW"," Total","Aruba","MEX","Mexico",2014,"Gross Exp.",2,2872.709
"H0","ABW"," Total","Aruba","MEX","Mexico",2014,"Gross Imp.",1,13367.367
"H0","ABW"," Total","Aruba","NLD","Netherlands",2014,"Gross Exp.",2,7041.384
"H0","ABW"," Total","Aruba","NLD","Netherlands",2014,"Gross Imp.",1,144311.54
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2014,"Gross Exp.",2,1161.265
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2014,"Gross Imp.",1,581.394
"H0","ABW"," Total","Aruba","PAN","Panama",2014,"Gross Exp.",2,1770.598
"H0","ABW"," Total","Aruba","PAN","Panama",2014,"Gross Imp.",1,45181.98
"H0","ABW"," Total","Aruba","SUR","Suriname",2014,"Gross Exp.",2,2412.233
"H0","ABW"," Total","Aruba","SUR","Suriname",2014,"Gross Imp.",1,1241.669
"H0","ABW"," Total","Aruba","THA","Thailand",2014,"Gross Exp.",2,541.029
"H0","ABW"," Total","Aruba","THA","Thailand",2014,"Gross Imp.",1,3484.487
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago",2014,"Gross Exp.",2,40.017
"H0","ABW"," Total","Aruba","TTO","Trinidad and Tobago",2014,"Gross Imp.",1,10504.771
"H0","ABW"," Total","Aruba","UNS","Unspecified",2014,"Gross Exp.",2,3505.648
"H0","ABW"," Total","Aruba","UNS","Unspecified",2014,"Gross Imp.",1,101346.18
"H0","ABW"," Total","Aruba","URY","Uruguay",2014,"Gross Exp.",2,480.28
"H0","ABW"," Total","Aruba","URY","Uruguay",2014,"Gross Imp.",1,3651.81
"H0","ABW"," Total","Aruba","USA","United States",2014,"Gross Exp.",2,18289.853
"H0","ABW"," Total","Aruba","USA","United States",2014,"Gross Imp.",1,718141.342
"H0","ABW"," Total","Aruba","VEN","Venezuela",2014,"Gross Exp.",2,14370.231
"H0","ABW"," Total","Aruba","VEN","Venezuela",2014,"Gross Imp.",1,10112.069
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2014,"Gross Exp.",2,570534.007
"H0","AFG"," Total","Afghanistan","All","All countries  All --- All  ",2014,"Gross Imp.",1,7697178.17
"H0","AFG"," Total","Afghanistan","CHN","China",2014,"Gross Exp.",2,15452.716
"H0","AFG"," Total","Afghanistan","CHN","China",2014,"Gross Imp.",1,1038198.468
"H0","AFG"," Total","Afghanistan","DEU","Germany",2014,"Gross Exp.",2,17045.181
"H0","AFG"," Total","Afghanistan","DEU","Germany",2014,"Gross Imp.",1,53230.942
"H0","AFG"," Total","Afghanistan","GBR","United Kingdom",2014,"Gross Imp.",1,6095.647
"H0","AFG"," Total","Afghanistan","IND","India",2014,"Gross Exp.",2,159979.715
"H0","AFG"," Total","Afghanistan","IND","India",2014,"Gross Imp.",1,107664.176
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2014,"Gross Exp.",2,33351.524
"H0","AFG"," Total","Afghanistan","IRN","Iran, Islamic Rep.",2014,"Gross Imp.",1,1497079.74
"H0","AFG"," Total","Afghanistan","JPN","Japan",2014,"Gross Imp.",1,258847.983
"H0","AFG"," Total","Afghanistan","PAK","Pakistan",2014,"Gross Exp.",2,188424.057
"H0","AFG"," Total","Afghanistan","PAK","Pakistan",2014,"Gross Imp.",1,1327930.936
"H0","AFG"," Total","Afghanistan","SAU","Saudi Arabia",2014,"Gross Exp.",2,506.019
"H0","AFG"," Total","Afghanistan","UNS","Unspecified",2014,"Gross Exp.",2,155774.795
"H0","AFG"," Total","Afghanistan","UNS","Unspecified",2014,"Gross Imp.",1,3408130.278
"H0","AGO"," Total","Angola","ABW","Aruba",2014,"Gross Imp.",1,53.711
"H0","AGO"," Total","Angola","AFG","Afghanistan",2014,"Gross Imp.",1,80.073
